,cDLBCL_2,cDLBCL_3,cDLBCL_4,cDLBCL_5,cDLBCL_6,cDLBCL_7,cDLBCL_8,cDLBCL_9,cDLBCL_11,cDLBCL_12,cDLBCL_13,cDLBCL_14,cDLBCL_15,cDLBCL_16,cDLBCL_17,cDLBCL_18,cDLBCL_19,cDLBCL_20,cDLBCL_21,cDLBCL_22,cDLBCL_23,cDLBCL_24,cDLBCL_25,cDLBCL_26,cDLBCL_27,cDLBCL_28,cDLBCL_29,cDLBCL_30,cDLBCL_31,cDLBCL_32,cDLBCL_33,cDLBCL_34,cDLBCL_35,cDLBCL_36,cDLBCL_37,cDLBCL_38,cDLBCL_39,Ctrl_1,Ctrl_2,Ctrl_3,Ctrl_4,Ctrl_5,Ctrl_7,Ctrl_8
GT_CpG_100:chr25:10364242-10365326_2049,1.479063237,1.481797562,0.795270411,1.152722938,1.270256888,1.609188308,0.67590979,1.461701358,1.759290651,1.128519894,0.546936513,1.610384269,-0.320314421,1.498396749,-0.004143646,0.942512505,1.133461934,1.227574163,1.397027657,1.518167218,0.671331179,1.369172003,1.091630336,1.276084357,1.507646169,1.438337149,1.312340337,1.518392815,1.45982954,1.416965252,1.131387239,1.311408012,1.113368461,1.244712411,1.357418222,1.517049899,1.426331503,-0.299219685,-0.174124759,-0.65215696,-0.350297231,-0.507585757,0.312758173,-0.307449891
GT_CpG_100:chr29:16273789-16275044_2370,0.184264644,-0.62261204,0.454656387,0.690555875,0.953722548,0.326123729,0.386395576,0.06850064,0.105489258,-0.444557402,0.560063931,-0.980214636,0.588320657,-0.022622199,0.622335909,0.925710002,-0.917776999,0.797101487,0.859165462,0.54617157,1.022174796,0.344805028,0.415021362,1.092823323,1.084141122,0.934583494,0.946362398,-0.25363391,0.169493693,0.950759008,0.249747002,-0.163463258,0.423801966,0.573603898,0.163269661,0.365920781,0.641905188,-1.01741547,-0.726862951,-0.765302963,-0.774517921,-1.193576487,-0.985329345,-1.052563536
GT_CpG_100:chr5:56540999-56542224_3161,-0.779150629,-1.412521459,-1.654137305,-0.662947027,-0.825104023,-0.964949734,0.462739476,-0.078231516,-1.256208514,-1.888525971,-0.345916181,-0.226773437,-1.921468797,-0.227989617,-0.737959572,-1.863025719,-0.660631724,0.846829412,0.349587836,-1.171083254,-0.903589373,0.496045261,-0.136234138,-1.107478944,-0.429597906,-0.338632045,-0.787081973,-1.528279192,0.516145653,0.650281725,-0.110281116,-0.430436285,-1.016471973,-0.542086609,-0.81610583,-1.15849383,-0.113424925,0.818620921,0.653217501,0.995140707,0.683012492,0.532608208,1.002310908,1.078346334
GT_CpG_100:chr6:54959441-54960395_3298,1.764820603,0.745205236,0.579127625,1.127691251,1.527518917,0.257954456,1.534325918,0.399327801,1.408339158,1.006247327,1.031010863,-0.250570746,1.10102423,1.119492091,0.879918856,-1.475826579,0.679987721,1.275555488,1.410202315,1.568970095,-0.975724667,1.212334981,1.34626217,1.171144758,-0.745411421,1.610569579,1.808076654,-0.428502008,0.71108947,1.57869715,0.910301152,1.152565604,1.070979978,0.232657527,1.513736572,0.724695824,1.12663318,-0.786087504,0.051020076,-0.206772812,-0.434976002,-1.280338297,-0.457576168,-0.361540503
GT_CpG_101:chr10:15817269-15818400_4433,1.59257654,1.213292316,1.124791145,0.375952903,-0.064841553,1.835752366,0.564359295,0.134531092,0.489835167,0.59145563,1.430871077,1.417630513,1.42887032,0.207096729,0.757837647,1.077042923,1.522636793,1.36023358,1.456831288,1.194800838,1.022209879,0.124485909,0.090065189,0.463608922,1.449350168,1.417219389,1.580094078,1.219307583,0.859866122,0.994154964,0.963575122,-0.109692401,1.074982795,1.076807248,0.893909274,1.162609629,1.075919683,-0.065375521,-0.232844445,-0.800760583,-0.086869779,-0.565874689,-0.260707822,-0.477532522
GT_CpG_101:chr22:39380472-39381725_6160,1.589407531,0.835773432,1.407085176,0.406936358,0.643440572,1.761913052,1.537884314,1.190812529,1.624002873,1.691375068,1.000145704,1.432403449,1.430756899,1.322876186,0.887379069,1.302477212,0.704324254,1.349475181,1.716000325,1.110636076,0.2043609,1.18182979,0.384647061,1.033519538,1.622598898,1.499018213,0.933163841,1.094938223,1.174801851,1.420077072,0.920202949,0.394114674,1.472642975,1.161313744,1.097305124,1.019841875,1.182639495,-0.718684662,-0.552136641,-0.28054238,-1.08887006,-1.522387677,-1.237982298,-0.840989688
GT_CpG_101:chr25:42829745-42831174_6318,0.235038336,-0.87042721,-0.386667808,-0.400784614,-0.783146056,0.929348545,-1.189171516,0.027014706,-0.764774728,-0.792365724,0.496634989,0.801693716,-0.094191744,0.734341424,-1.125119932,1.295435434,0.590035008,1.014114029,1.31400188,0.616309653,-0.1482286,-0.570842691,-0.807533488,-1.907633983,0.276225614,-0.029504448,-0.249391811,0.931973464,0.553155776,1.483892047,-0.592201042,-0.929654378,0.963812928,-0.070341556,-0.817734272,0.740239178,0.932782902,-1.863486886,-1.375936258,-1.771519983,-1.623265804,-1.938810973,-1.940817974,-1.921976711
GT_CpG_101:chr35:7479712-7480958_10801,1.443994287,-0.201244919,0.669253337,-0.044197499,0.80465352,1.427552721,0.374646569,-0.178000409,0.80878565,0.652062901,0.936412804,1.159146076,0.523269135,0.497216012,0.957416882,0.919377631,0.623586336,0.262890007,1.30934702,0.907305685,0.477021554,0.371709097,0.97984612,1.248462849,0.853064489,0.94772722,0.711720117,0.839369059,0.985096043,0.67764212,0.780070459,0.530608142,0.854045694,0.978206098,1.25278282,1.379476131,0.596947139,-0.225306842,-0.094544899,-0.03703862,-0.33308693,-0.16178959,-0.407893192,-0.482730722
GT_CpG_101:chr4:76066347-76067730_7610,0.506763641,0.372604661,-1.824547496,-1.018392613,-0.915104531,0.475560951,0.019073523,-1.803490928,-0.931486085,-0.047622575,-1.689845822,-1.40157978,-1.201400159,-0.924771263,-0.196633652,0.134492301,-0.915649845,0.462439267,1.141815476,-0.628220277,-1.455801035,-1.350569322,-0.262859285,0.618650858,0.369560321,-1.855577114,-1.613349135,-0.357151253,0.576356571,0.404257156,-1.734720852,-1.755425791,0.426994714,-0.87585534,-1.326378409,0.230045122,0.301459113,-1.572238704,-1.338810034,-1.719564368,-1.883520795,-2.2412425,-2.126819449,-2.167773398
GT_CpG_101:chr8:28479947-28481333_8177,1.107885342,1.524234568,-0.466688669,0.564588286,0.521108233,1.479427814,-0.366732812,0.669996251,0.77560778,0.68859947,0.922138641,1.006216751,0.776383259,-1.037191877,-0.213534224,0.752798017,0.877717911,0.48633806,1.170565177,1.072519712,0.723837134,0.012011366,1.000987101,1.223459653,1.232606609,0.998557526,0.840930103,1.169805669,-0.007699606,0.576356571,0.708301351,-0.133257255,0.16517779,1.273065413,0.129160365,1.301708648,0.716629937,-1.009326925,-0.610705562,-0.76521314,-1.342757984,-0.935944161,-1.524691671,-1.238873162
GT_CpG_101:chr9:53297098-53298717_8342,-0.017165502,0.413612154,0.869058119,-0.371154885,-0.139962871,0.299148867,0.438775929,-0.498053364,-0.272019494,0.055327124,-0.294738215,-0.779670525,0.559317713,0.296468346,0.252341595,0.572339258,0.269786534,0.743898566,0.470570679,-0.326787484,0.803370114,-0.213055058,-0.351364889,-0.088487925,-0.891178332,-0.599980926,-0.46933098,0.909507614,0.536066175,-0.279213478,0.361454357,-0.221305535,0.102782245,0.217740289,0.256905815,-0.157552575,0.868380693,-1.060833856,-0.935519628,-1.03343886,-1.372167597,-1.819228247,-1.505033508,-1.35597174
GT_CpG_102:chr1:103249839-103251073_10393,0.274203747,-0.936894746,1.129132283,0.818290992,0.779056654,0.872530309,1.05998744,0.694301364,-0.046838409,0.792094615,1.231334137,0.71965402,1.625033941,0.644580723,1.12750284,1.485008318,0.435343681,1.286614163,1.462224908,1.078236714,-0.905034731,1.225736855,1.401177121,0.9026897,1.178591262,0.909432731,-0.339326778,-1.395110287,0.572879672,1.529698538,0.781556998,0.303692959,-1.321122475,0.903080732,-0.349823165,1.43020211,0.986489515,-1.254998976,-1.160802809,-0.33676427,-1.405937225,-2.138476785,-1.214293531,-0.860207408
GT_CpG_102:chr11:23606130-23607297_9631,1.342312188,1.291646581,1.044870315,0.629846013,0.423602475,1.62775631,1.220247074,0.159001836,0.772203152,1.016511268,1.369176203,1.020120156,1.616458401,1.070336028,0.627022401,0.489592029,1.224253801,1.361606769,1.816166961,1.093150808,1.076437419,0.579142322,0.922132274,1.169156993,1.031985558,0.499457277,0.891139019,1.040825238,1.456827312,0.564303644,0.621530873,0.559346363,1.263536458,1.232790886,1.086693888,1.393205488,0.990456041,-0.359676419,0.123801368,0.1561941,0.210496423,-0.873937471,0.022199252,0.201929487
GT_CpG_102:chr14:598906-600250_9933,1.379791786,1.080671879,1.436946164,1.102206643,1.183487838,1.168397486,1.417530078,1.163623106,1.301110805,1.346584923,1.229908873,1.335984491,1.219250631,1.190452089,1.29492349,0.987799464,0.117234872,1.036699924,1.532080318,1.331749663,1.246054246,1.048575311,1.094664334,1.074787947,1.408170987,1.249812568,1.240449313,1.309588338,1.280429615,1.053055166,1.291335288,0.965246259,0.872998094,1.164386935,1.275812696,1.082154973,0.469440095,0.217169042,-0.112578479,0.434663699,-0.345060137,-0.195726458,-0.283845405,-0.592994029
GT_CpG_102:chr20:2792244-2793806_10609,0.898014416,0.942471338,0.936499213,0.92645864,1.164200221,1.183374682,0.831723486,1.174539377,0.781043966,1.16635663,1.084296268,1.118767176,0.563446543,1.051051764,0.704968039,0.927085235,1.042471395,0.896866904,0.968989168,1.162609629,0.721113213,1.129899509,0.92782414,0.898643395,1.112818081,1.161564374,0.752082655,1.049608344,0.823052909,0.990128941,0.870061318,0.826793092,1.011775853,0.638775775,0.902392056,1.14851181,0.650713672,-0.449044585,-1.14982014,-0.597094664,-1.368942942,-0.827005296,-1.928240523,-2.056005263
GT_CpG_102:chr32:8243651-8245279_11885,1.417736112,1.148248505,0.589222158,0.808976409,0.817605942,1.298229506,1.084573751,0.876619129,1.090409966,1.022826793,1.172590609,1.371308094,1.205363734,0.746471039,0.926266666,1.304890189,1.072901477,0.871714777,1.523823851,1.153407553,0.945378933,0.441445705,0.830867626,1.131161373,1.133641868,0.889489638,0.659034855,1.11894721,1.056151837,0.474896551,0.705579351,0.654847497,1.26893645,1.153260615,1.11672187,1.293773275,0.97845956,0.315793053,-0.013580006,-0.114151047,-0.232988388,-0.633199657,-0.307668082,0.045209643
GT_CpG_102:chr8:15089321-15090829_13153,0.242945853,-0.166795036,-0.898744596,-0.978524677,0.671242832,-0.34729036,0.393755156,-0.002614449,-0.007125305,-0.75800973,-1.19666138,-0.240989616,-0.280129428,0.606934531,-1.262023151,0.421009689,-0.197183253,0.430844656,0.659257724,0.009011133,-0.402057169,-0.640172286,0.276714226,-0.659563974,-0.236108103,-0.351383623,-0.59271392,-0.011595737,-0.636053257,0.437241431,0.135334863,-0.926482218,0.146390489,-0.252687459,0.061940007,-0.122813581,0.503132051,-1.550756976,-1.379282864,-0.96321467,-1.398990455,-1.887013642,-1.725905825,-1.594801511
GT_CpG_102:chr9:10124060-10125329_13239,-0.82581639,-1.06737474,-2.169886378,-1.111577764,-0.917510081,-0.295262172,-2.242957846,-0.971557502,-1.367412226,-0.187033417,0.297670507,-1.489276246,-1.356211546,-0.324171729,-2.022247077,-1.804686781,-1.089977591,0.1372342,0.217517785,0.270826369,-0.540100153,-1.391750869,-0.975016374,-0.375491196,-1.513771717,0.376906006,-1.171923932,-0.469518077,-1.251397996,-0.303235958,-1.69330832,-1.621309745,-0.267847246,-0.039853474,-0.790917317,-0.049789044,0.249010473,-1.717541748,-1.716967899,-1.812429931,-2.008901602,-1.577750228,-2.140362569,-1.89864195
GT_CpG_102:chr9:16467994-16469322_13243,0.473538501,-2.01390533,-1.854376119,-2.407413566,-1.477380792,-1.522427073,1.082713433,-1.329998298,-1.747243489,-1.708684906,-2.430123845,-0.499318895,-1.786322566,-1.590181819,-0.514750046,-0.019745792,-2.398850411,1.376139162,1.252269255,-2.054472283,-2.731727707,-1.733132894,-0.738636406,-2.379885459,0.045888281,-0.055515196,-1.044338405,-2.43626325,-0.532672675,-0.184989921,-0.864579786,-1.423837363,-1.340055748,-0.77695939,0.713358728,-0.8013591,0.756340039,-2.603539862,-2.007056005,-2.526116164,-2.221856831,-2.915578793,-2.708566171,-2.683802634
GT_CpG_103:chr1:40710639-40711777_21815,1.143873587,0.452114643,-0.95369272,0.589934746,0.070393873,0.753118567,1.343324602,0.118887143,1.13041042,-0.460515408,0.911407926,0.999203759,1.551165163,0.276031336,0.600746854,1.110959519,-1.263977841,1.436594383,1.559536642,0.885338664,-0.534656497,-0.003105201,0.291613754,0.85842842,1.385348273,0.724885549,0.150983045,1.144860542,1.567656759,0.888051095,1.100319495,-0.217678862,0.997525934,0.922138641,0.918349421,0.573151133,1.111929171,-1.40465473,-0.575840767,-0.914461763,-1.001614097,-1.3738099,-1.089456046,-0.794597344
GT_CpG_103:chr1:97334803-97335904_14675,0.232116027,0.88904846,0.292201074,-0.846939579,-0.678825159,1.198688347,-0.30584121,0.318024114,-0.138227431,0.252484461,1.105204677,-0.806893026,-0.260342312,-0.286334922,-0.805590644,-0.007830134,-0.019221483,0.842609784,1.463587642,0.740396721,-0.458827379,-0.086480286,0.775307916,1.331300126,0.368158428,0.781043966,1.002310908,0.803605132,1.021149089,0.749859432,0.010441609,-2.291621267,-0.010138972,0.898369342,0.329309757,0.893001988,0.530561211,-1.482650617,-1.390458996,-1.089020639,-1.55732051,-1.358722241,-1.806173532,-1.545827186
GT_CpG_103:chr12:1149105-1150563_13688,-1.219349838,-1.370308176,-1.416113896,-0.635577968,-0.928764296,-1.419367227,0.626164403,-0.229609729,-1.199873661,-1.171394533,-0.444883195,-1.624716674,-0.698358029,-1.107686461,-0.639085064,-0.839514746,-0.810526284,-0.202259036,-0.83539222,-0.392890213,0.397012643,-0.641193959,-0.664939582,-1.42844175,-1.569851195,-1.467680719,-0.412951158,-1.492265415,0.075160039,-0.890394316,-0.480962594,-0.570315392,-1.465448275,-1.089576321,-1.095302134,-1.103540884,-1.034820278,0.641153114,0.175408304,-0.548994414,0.648756975,0.570702585,0.461787837,0.417689112
GT_CpG_103:chr14:46954542-46955969_13844,1.228715653,1.142085995,1.263806533,0.815303508,1.080384272,0.946124745,1.282941445,0.936228205,1.569986566,1.359466253,1.094821266,1.183781947,1.084616078,1.268372496,1.086220357,1.326637877,0.916026569,0.690271707,1.457602342,1.286129995,1.000594828,1.080277529,1.240516108,1.189773727,1.297191731,1.195726921,1.279758853,1.205388151,1.272561901,1.288001521,1.147679279,1.066368272,1.059359383,1.042999436,1.241634323,1.073058641,0.406190534,-0.244591639,0.249917031,0.291244965,-0.016881122,-0.433004529,-0.435919478,-0.206853938
GT_CpG_103:chr18:43172579-43174078_14291,-0.333827332,-0.184448292,0.631338472,-1.534160562,-1.759622079,0.142470103,-0.37858884,-0.991566972,-0.626716489,-0.75926853,-0.921133027,-0.507137503,-0.92208779,-0.544873604,-0.338431406,-1.803891664,-0.157103765,0.341083622,0.629659081,-0.401370662,0.303697332,-0.693601398,-0.61688423,-0.766530169,0.246041401,-0.572710699,-0.342967675,-0.047032434,-0.830234472,-0.552146013,-0.463730198,-1.551207837,-1.304550487,0.066864616,-0.528225357,-0.359014032,-0.251747812,-1.573501878,-1.438037544,-1.423534938,-1.928627875,-1.746343093,-2.068885336,-1.915934049
GT_CpG_103:chr2:65447626-65448954_15527,0.681611273,0.285024801,0.539034832,-0.467025275,-0.114966098,1.362113715,0.915758172,-0.754449796,0.161365518,0.35229151,0.819095881,-0.818740294,0.717378512,-0.451427691,0.508220377,0.123881274,-0.849272272,1.010709441,0.991003345,0.878092724,-0.149312934,-0.076512671,0.529633032,-0.126787537,0.988198004,0.809891761,0.294941412,-0.640479148,0.103011343,0.19003099,-0.557046935,0.104944854,0.670591883,0.071050833,1.126702597,0.326183501,0.783797287,-0.853280308,-0.514937197,-0.776981031,-0.612094009,-0.936041866,-0.763644534,-0.761404281
GT_CpG_103:chr20:4906754-4907900_14786,0.966537235,-0.234356633,0.863194989,-0.234506264,0.656854697,1.11422316,0.707665052,-0.772620151,-0.286574227,0.570159854,0.733571499,0.623087331,0.889021008,0.300779885,0.054815188,0.474748069,0.459239937,0.053075739,1.20404235,0.283585663,0.684326201,-0.054546292,0.519456933,0.945572093,0.744070831,0.520643688,0.659891256,0.756975011,0.709000546,0.043727082,0.23620241,-0.291164475,0.689444128,0.680322078,1.15607821,0.741436483,0.553028577,-0.76015535,-0.915235273,-0.680938292,-0.763984454,-1.048138943,-1.223047451,-0.949271708
GT_CpG_103:chr20:49927120-49928441_14808,1.536754512,1.364822376,1.784593793,-0.244361784,-0.392715726,1.252544702,1.354404544,0.297945464,1.04912346,0.674524186,1.30148546,1.035406943,1.685774462,1.109489209,0.847034725,0.989868855,1.218878196,1.497704857,1.414749936,1.154375717,1.484498776,0.719637003,1.187862874,1.138935696,1.42525077,0.43575228,1.40973378,1.244125037,1.16558502,1.567746157,1.087002166,-0.019789528,0.589309549,0.770583202,0.612792738,1.586609171,1.218176592,-0.306633668,0.605378429,0.457495904,-0.128356125,-0.899113524,0.047579074,0.410636738
GT_CpG_103:chr22:22212380-22213991_14919,-0.502821838,0.139907544,-1.898409768,-1.274659139,-1.251295636,0.002614928,1.108018553,-1.284540642,-0.221936728,-0.922898268,-0.395585223,-1.799799166,0.095007029,-0.194738607,-1.655102382,0.081510468,-0.837220544,0.878907637,1.287124348,-0.034758399,-2.056827764,-1.889372432,-0.088871605,-0.183712905,1.262280116,-0.041373779,-0.019757503,-1.576196662,0.269215478,0.04593613,-0.388490595,-1.917517128,0.961548273,0.213252349,0.633429321,-0.170449332,0.486627931,-1.488413508,-1.3755939,-1.374285472,-1.990830639,-1.769314469,-1.962769794,-1.812058412
GT_CpG_103:chr6:18699401-18700791_16877,0.043537643,0.091555925,-0.432383241,0.11158863,-0.333529159,1.203448758,0.076070092,-1.185479637,0.26643879,-1.166694638,0.548546986,-0.315724675,0.519804662,-0.096788809,-0.033762069,1.079818001,-0.575348728,0.151451658,1.341044966,1.274473927,-0.350097516,-0.485567432,0.137616112,0.663655454,0.600329145,0.645652873,0.18149693,0.005782826,0.329635948,1.143160504,0.903356036,-0.632576888,0.118050421,0.392243054,0.434024453,0.991758574,0.225423416,-1.697886623,-1.318028127,-1.545251178,-1.686791468,-1.629289536,-1.949455901,-1.72424381
GT_CpG_103:chr6:69519782-69521018_25378,0.111491645,1.126592417,0.307677345,-0.531711568,0.025751407,0.860999728,0.812416705,-0.890518639,0.668290294,0.016236765,0.406301874,0.240797212,0.804269982,-0.227313944,0.655090492,0.915926547,0.639926762,0.319337698,1.088284637,0.570659231,0.782772026,0.136752242,-0.123294905,1.036602172,0.650960545,0.249751803,0.408234995,0.714470902,-0.618557181,0.700815597,0.553138202,-0.511417174,1.18630279,0.626276285,0.513914951,0.487674558,0.247065036,-0.560760653,-0.663588095,-0.703118373,-0.679248174,-0.819892716,-0.892526933,-0.516311717
GT_CpG_103:chr9:5445423-5446725_17310,1.288864403,0.998525186,1.469974376,1.07464452,1.366842158,1.573172753,1.460200801,1.422081435,1.063085346,1.216685919,1.235876621,1.58570367,1.476791197,0.918040921,0.204894818,1.155887096,1.511174585,1.613184899,1.727898572,1.400816638,1.614575797,1.254657881,0.990194903,1.030980288,1.553125687,1.16126984,1.556787927,0.856631208,0.249568922,1.605957787,1.447547377,1.507663108,1.393928024,1.259919983,1.288007521,1.539714948,1.099817533,-1.079568494,-0.784862578,-0.50541892,-1.118765087,-1.504541506,-1.095338399,-1.062492087
GT_CpG_104:chr11:39520320-39521602_17937,1.100581947,1.402909487,-0.774605429,-0.402385838,0.91914993,0.311474095,1.279541933,-0.299706265,0.800219951,0.799045576,1.177066947,0.81213104,0.957575002,1.160182424,0.651931968,1.020250641,-0.467145426,0.992946356,1.655361484,1.002945535,-1.019058209,0.579520192,0.533875663,0.680976611,1.20408361,1.182697697,0.441414862,0.923027205,0.555898441,0.502040523,1.099050679,0.756993863,1.131195889,1.180439063,1.175590399,1.286550216,0.750484499,-1.274136192,-0.85403482,-0.782145457,-0.853937951,-1.607133102,-1.060734504,-0.970365113
GT_CpG_104:chr12:11757022-11758257_17970,-0.616536858,0.503075472,1.347971732,0.245915285,-0.291947024,1.700545981,1.088513088,-0.382458509,-1.008368065,0.075677866,1.356539069,0.813677267,0.749946644,1.077761492,0.901070083,1.481775913,1.42690689,1.223429515,1.377001339,0.857085465,1.271201276,0.768720406,0.044863482,-1.399298082,0.530226875,-0.045337003,0.40083958,0.748091948,1.283211878,1.369628323,-0.252652654,-1.192205877,0.854349842,-0.77101778,-0.487033612,-0.249061569,0.803053476,-1.31892896,-1.67168448,-2.088379946,-1.86382657,-1.638388589,-1.724161839,-2.158462821
